Title,Price,Location,Link
3 Bedroom Apartment / Flat,KSh 11 500 000,Lower Kabete,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-lower-kabete-117392316
2 Bedroom Apartment / Flat,KSh 11 400 000,Kilimani,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-117385854
1 Bedroom Apartment / Flat,KSh 5 150 000,Westlands,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-117392045
1 Bedroom Apartment / Flat,KSh 5 150 000,Westlands,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-117392041
1 Bedroom Apartment / Flat,KSh 5 150 000,Westlands,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-117392009
1 Bedroom Apartment / Flat,KSh 5 150 000,Westlands,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-117392003
2 Bedroom Apartment / Flat,KSh 13 600 000,Riverside,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-117382315
2 Bedroom Apartment / Flat,KSh 13 600 000,Riverside,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-117382313
2 Bedroom Apartment / Flat,KSh 15 610 000,Riverside,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-117382295
3 Bedroom Apartment / Flat,KSh 21 800 000,Westlands,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116786877
2 Bedroom Apartment / Flat,KSh 15 610 000,Riverside,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-117382293
3 Bedroom Apartment / Flat,KSh 21 050 000,Riverside,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-riverside-117382290
3 Bedroom Apartment / Flat,KSh 21 050 000,Riverside,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-riverside-117382289
1 Bedroom Apartment / Flat,KSh 5 650 000,Kilimani,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-117385877
1.5 Bedroom Apartment / Flat,KSh 10 500 000,Westlands,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-117389353
2 Bedroom Apartment / Flat,KSh 13 800 000,Westlands,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-117389347
4 Bedroom Apartment / Flat,KSh 30 000 000,Kilimani,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-117393121
4 Bedroom Apartment / Flat,KSh 30 000 000,Kilimani,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-117389614
3 Bedroom Apartment / Flat,KSh 19 800 000,Westlands,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-117389321
3 Bedroom Apartment / Flat,KSh 21 800 000,Westlands,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-117389315
Vacant Land / Plot,KSh 100 000 000,Lower Kabete,https://www.property24.co.ke/vacant-land-plot-for-sale-in-lower-kabete-117389629
3 Bedroom Apartment / Flat,KSh 22 700 000,Westlands,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-117380728
3 Bedroom Apartment / Flat,KSh 22 700 000,Westlands,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-117380729
4 Bedroom Apartment / Flat,KSh 26 200 000,Kilimani,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-117386520
5 Bedroom Apartment / Flat,KSh 26 700 000,Kilimani,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-kilimani-117386414
4 Bedroom Apartment / Flat,KSh 24 000 000,Kilimani,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-117390767
3 Bedroom Apartment / Flat,KSh 22 700 000,Westlands,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116832018
4 Bedroom Apartment / Flat,KSh 30 000 000,Kilimani,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-117380168
2 Bedroom Apartment / Flat,KSh 15 200 000,Westlands,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-117380734
3 Bedroom Apartment / Flat,KSh 22 700 000,Westlands,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-117380730
4 Bedroom Apartment / Flat,KSh 27 000 000,Westlands,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-117371320
5 Bedroom Apartment / Flat,KSh 62 500 000,Kilimani,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-kilimani-117371431
5 Bedroom Apartment / Flat,KSh 33 500 000,Kilimani,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-kilimani-117371450
2 Bedroom Apartment / Flat,KSh 13 610 000,Westlands,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-117371303
2 Bedroom Apartment / Flat,KSh 13 000 000,Westlands,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-117370581
3 Bedroom Apartment / Flat,KSh 22 500 000,Kilimani,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-117371481
4 Bedroom Apartment / Flat,KSh 79 000 000,Loresho,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-loresho-117391971
4 Bedroom Apartment / Flat,KSh 79 000 000,Loresho,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-loresho-117389220
1 Bedroom Apartment / Flat,KSh 6 090 000,Kileleshwa,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-117370847
5 Bedroom Apartment / Flat,KSh 35 000 000,Westlands,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-westlands-117371503
2 Bedroom Apartment / Flat,KSh 33 000 000,Riverside,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-117380080
1 Bedroom Apartment / Flat,KSh 7 900 000,Westlands,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-117393054
